2;1;Left-Cerebral-White-Matter
4;2;Left-Lateral-Ventricle
5;3;Left-Inf-Lat-Vent
7;4;Left-Cerebellum-White-Matter
8;5;Left-Cerebellum-Cortex
10;6;Left-Thalamus
11;7;Left-Caudate
12;8;Left-Putamen
13;9;Left-Pallidum
14;10;3rd-Ventricle
15;11;4th-Ventricle
16;12;Brain-Stem
17;13;Left-Hippocampus
18;14;Left-Amygdala
24;15;CSF
26;16;Left-Accumbens-area
28;17;Left-VentralDC
30;18;Left-Vessel
31;19;Left-choroid-plexus
41;20;Right-Cerebral-White-Matter
43;21;Right-Lateral-Ventricle
44;22;Right-Inf-Lat-Vent
46;23;Right-Cerebellum-White-Matter
47;24;Right-Cerebellum-Cortex
49;25;Right-Thalamus
50;26;Right-Caudate
51;27;Right-Putamen
52;28;Right-Pallidum
53;29;Right-Hippocampus
54;30;Right-Amygdala
58;31;Right-Accumbens-area
60;32;Right-VentralDC
63;33;Right-choroid-plexus
77;34;WM-hypointensities
85;35;Optic Chiasm
251;36;CC-Posterior
252;37;CC-Mid-Posterior
253;38;CC-Central
254;39;CC-Mid-Anterior
255;40;CC-Anterior
1001;41;ctx-lh-bankssts
1002;42;ctx-lh-caudalanteriorcingulate
1003;43;ctx-lh-caudalmiddlefrontal
1005;44;ctx-lh-cuneus
1006;45;ctx-lh-entorhinal
1007;46;ctx-lh-fusiform
1008;47;ctx-lh-inferiorparietal
1009;48;ctx-lh-inferiortemporal
1010;49;ctx-lh-isthmuscingulate
1011;50;ctx-lh-lateraloccipital
1012;51;ctx-lh-lateralorbitofrontal
1013;52;ctx-lh-lingual
1014;53;ctx-lh-medialorbitofrontal
1015;54;ctx-lh-middletemporal
1016;55;ctx-lh-parahippocampal
1017;56;ctx-lh-paracentral
1018;57;ctx-lh-parsopercularis
1019;58;ctx-lh-parsorbitalis
1020;59;ctx-lh-parstriangularis
1021;60;ctx-lh-pericalcarine
1022;61;ctx-lh-postcentral
1023;62;ctx-lh-posteriorcingulate
1024;63;ctx-lh-precentral
1025;64;ctx-lh-precuneus
1026;65;ctx-lh-rostralanteriorcingulate
1027;66;ctx-lh-rostralmiddlefrontal
1028;67;ctx-lh-superiorfrontal
1029;68;ctx-lh-superiorparietal
1030;69;ctx-lh-superiortemporal
1031;70;ctx-lh-supramarginal
1032;71;ctx-lh-frontalpole
1033;72;ctx-lh-temporalpole
1034;73;ctx-lh-transversetemporal
1035;74;ctx-lh-insula
2001;75;ctx-rh-bankssts
2002;76;ctx-rh-caudalanteriorcingulate
2003;77;ctx-rh-caudalmiddlefrontal
2005;78;ctx-rh-cuneus
2006;79;ctx-rh-entorhinal
2007;80;ctx-rh-fusiform
2008;81;ctx-rh-inferiorparietal
2009;82;ctx-rh-inferiortemporal
2010;83;ctx-rh-isthmuscingulate
2011;84;ctx-rh-lateraloccipital
2012;85;ctx-rh-lateralorbitofrontal
2013;86;ctx-rh-lingual
2014;87;ctx-rh-medialorbitofrontal
2015;88;ctx-rh-middletemporal
2016;89;ctx-rh-parahippocampal
2017;90;ctx-rh-paracentral
2018;91;ctx-rh-parsopercularis
2019;92;ctx-rh-parsorbitalis
2020;93;ctx-rh-parstriangularis
2021;94;ctx-rh-pericalcarine
2022;95;ctx-rh-postcentral
2023;96;ctx-rh-posteriorcingulate
2024;97;ctx-rh-precentral
2025;98;ctx-rh-precuneus
2026;99;ctx-rh-rostralanteriorcingulate
2027;100;ctx-rh-rostralmiddlefrontal
2028;101;ctx-rh-superiorfrontal
2029;102;ctx-rh-superiorparietal
2030;103;ctx-rh-superiortemporal
2031;104;ctx-rh-supramarginal
2032;105;ctx-rh-frontalpole
2033;106;ctx-rh-temporalpole
2034;107;ctx-rh-transversetemporal
2035;108;ctx-rh-insula
3012;109;left cingulate cortex
3013;110;right cingulate cortex
3014;111;left frontal cortex
3015;112;right frontal cortex
3016;113;left mesotemporal cortex
3017;114;right mesotemporal cortex
3018;115;left occipital cortex
3019;116;right occipital cortex
3022;117;left parietal cortex
3023;118;right parietal cortex
3026;119;left temporal cortex
3027;120;right temporal cortex
